"Year","Champion"
2013,"Florida St. (ACC)"
2014,"Ohio St. (Big Ten)"
2015,"Alabama (SEC)"
2016,"Clemson (ACC)"
2017,"Alabama (SEC)"
2018,"Clemson (ACC)"
2019,"LSU (SEC)"
2020,"Alabama (SEC)"
2021,"Georgia (SEC)"
2022,"Georgia (SEC)"
2023,"Michigan (Big Ten)"
